class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,1914,72.4,395,14.9,336,12.7,2645
1,b,339,70.8,68,14.2,72,15.0,479
2,c,912,73.4,153,12.3,177,14.3,1242
3,d,1093,72.6,202,13.4,210,14.0,1505
4,e,4589,72.0,858,13.5,931,14.6,6378
5,f,492,71.0,103,14.9,98,14.1,693
6,g,561,68.6,120,14.7,137,16.7,818
7,h,839,74.2,126,11.1,166,14.7,1131
8,i,1891,71.3,390,14.7,370,14.0,2651
9,l,1346,70.5,277,14.5,286,15.0,1909
10,m,648,72.2,125,13.9,124,13.8,897
11,n,2294,70.8,454,14.0,494,15.2,3242
12,o,1219,69.6,268,15.3,264,15.1,1751
13,p,423,71.6,81,13.7,87,14.7,591
14,r,2098,72.2,399,13.7,410,14.1,2907
15,s,1529,70.8,310,14.4,321,14.9,2160
16,t,1585,70.9,350,15.7,301,13.5,2236
17,u,1471,71.1,309,14.9,288,13.9,2068
18,v,306,68.8,67,15.1,72,16.2,445
19,w,236,74.2,41,12.9,41,12.9,318
20,z,254,72.2,38,10.8,60,17.0,352
