class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,1388,7.22,0,0,0,0,1388
1,b,279,1.45,0,0,0,0,279
2,c,634,3.30,0,0,0,0,634
3,d,791,4.11,0,0,0,0,791
4,e,3261,16.96,0,0,0,0,3261
5,f,412,2.14,0,0,0,0,412
6,g,454,2.36,0,0,0,0,454
7,h,633,3.29,0,0,0,0,633
8,i,1368,7.11,0,0,0,0,1368
9,j,47,0.24,0,0,0,0,47
10,k,69,0.36,0,0,0,0,69
11,l,988,5.14,0,0,0,0,988
12,m,478,2.49,0,0,0,0,478
13,n,1683,8.75,0,0,0,0,1683
14,o,916,4.76,0,0,0,0,916
15,p,308,1.60,0,0,0,0,308
16,r,1482,7.71,0,0,0,0,1482
17,s,1115,5.80,0,0,0,0,1115
18,t,1168,6.08,0,0,0,0,1168
19,u,1037,5.39,0,0,0,0,1037
20,v,230,1.20,0,0,0,0,230
21,w,171,0.89,0,0,0,0,171
22,x,55,0.29,0,0,0,0,55
23,y,61,0.32,0,0,0,0,61
24,z,197,1.02,0,0,0,0,197
