class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,1388,7.31,0,0,0,0,1388
1,b,279,1.47,0,0,0,0,279
2,c,634,3.34,0,0,0,0,634
3,d,791,4.16,0,0,0,0,791
4,e,3261,17.17,0,0,0,0,3261
5,f,412,2.17,0,0,0,0,412
6,g,454,2.39,0,0,0,0,454
7,h,633,3.33,0,0,0,0,633
8,i,1368,7.20,0,0,0,0,1368
9,l,988,5.20,0,0,0,0,988
10,m,478,2.52,0,0,0,0,478
11,n,1683,8.86,0,0,0,0,1683
12,o,916,4.82,0,0,0,0,916
13,p,308,1.62,0,0,0,0,308
14,r,1482,7.80,0,0,0,0,1482
15,s,1115,5.87,0,0,0,0,1115
16,t,1168,6.15,0,0,0,0,1168
17,u,1037,5.46,0,0,0,0,1037
18,v,230,1.21,0,0,0,0,230
19,w,171,0.90,0,0,0,0,171
20,z,197,1.04,0,0,0,0,197
