class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,779,8.06,0,0,0,0,779
1,b,109,1.13,0,0,0,0,109
2,c,297,3.07,0,0,0,0,297
3,d,378,3.91,0,0,0,0,378
4,e,1707,17.65,0,0,0,0,1707
5,f,207,2.14,0,0,0,0,207
6,g,101,1.04,0,0,0,0,101
7,h,109,1.13,0,0,0,0,109
8,i,707,7.31,0,0,0,0,707
9,l,544,5.63,0,0,0,0,544
10,m,263,2.72,0,0,0,0,263
11,n,708,7.32,0,0,0,0,708
12,o,589,6.09,0,0,0,0,589
13,p,274,2.83,0,0,0,0,274
14,q,121,1.25,0,0,0,0,121
15,r,742,7.67,0,0,0,0,742
16,s,650,6.72,0,0,0,0,650
17,t,638,6.60,0,0,0,0,638
18,u,615,6.36,0,0,0,0,615
19,v,132,1.37,0,0,0,0,132
