class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,609,6.32,0,0,0,0,609
1,ae,22,0.23,0,0,0,0,22
2,b,170,1.76,0,0,0,0,170
3,c,337,3.49,0,0,0,0,337
4,d,413,4.28,0,0,0,0,413
5,e,1554,16.11,0,0,0,0,1554
6,f,205,2.13,0,0,0,0,205
7,g,353,3.66,0,0,0,0,353
8,h,524,5.43,0,0,0,0,524
9,i,661,6.85,0,0,0,0,661
10,j,9,0.09,0,0,0,0,9
11,k,56,0.58,0,0,0,0,56
12,l,444,4.60,0,0,0,0,444
13,m,215,2.23,0,0,0,0,215
14,n,975,10.11,0,0,0,0,975
15,o,327,3.39,0,0,0,0,327
16,oe,27,0.28,0,0,0,0,27
17,p,34,0.35,0,0,0,0,34
18,r,740,7.67,0,0,0,0,740
19,s,465,4.82,0,0,0,0,465
20,ss,29,0.30,0,0,0,0,29
21,t,530,5.49,0,0,0,0,530
22,u,422,4.37,0,0,0,0,422
23,ue,40,0.41,0,0,0,0,40
24,v,98,1.02,0,0,0,0,98
25,w,159,1.65,0,0,0,0,159
26,x,12,0.12,0,0,0,0,12
27,y,36,0.37,0,0,0,0,36
28,z,178,1.85,0,0,0,0,178
